County	WeekStartDate	NewPos_All	Age 0-19	Age 20-39	Age 40-59	Age 60-79	Age 80+	Positive UnkAge	dtm_updated
Okanogan County	2020-03-15	1	0	0	0	1	0	0	2020/07/26 16:17:34
Okanogan County	2020-03-22	4	1	1	0	2	0	0	2020/07/26 16:17:34
Okanogan County	2020-03-29	4	2	1	1	0	0	0	2020/07/26 16:17:34
Okanogan County	2020-04-05	2	1	0	1	0	0	0	2020/07/26 16:17:34
Okanogan County	2020-04-12	3	0	0	2	1	0	0	2020/07/26 16:17:34
Okanogan County	2020-04-19	6	0	2	2	2	0	0	2020/07/26 16:17:34
Okanogan County	2020-04-26	1	1	0	0	0	0	0	2020/07/26 16:17:34
Okanogan County	2020-05-03	11	0	7	3	1	0	0	2020/07/26 16:17:34
Okanogan County	2020-05-10	9	4	4	1	0	0	0	2020/07/26 16:17:34
Okanogan County	2020-05-17	2	1	1	0	0	0	0	2020/07/26 16:17:34
Okanogan County	2020-05-24	9	1	5	3	0	0	0	2020/07/26 16:17:34
Okanogan County	2020-05-31	11	3	2	4	2	0	0	2020/07/26 16:17:34
Okanogan County	2020-06-07	11	1	2	4	4	0	0	2020/07/26 16:17:34
Okanogan County	2020-06-14	9	0	6	0	3	0	0	2020/07/26 16:17:34
Okanogan County	2020-06-21	24	1	18	4	1	0	0	2020/07/26 16:17:34
Okanogan County	2020-06-28	68	14	36	13	5	0	0	2020/07/26 16:17:34
Okanogan County	2020-07-05	119	17	51	43	8	0	0	2020/07/26 16:17:34
Okanogan County	2020-07-12	214	46	70	66	30	2	0	2020/07/26 16:17:34
Okanogan County	2020-07-19	94	24	32	24	14	0	0	2020/07/26 16:17:34
Pacific County	2020-03-29	2	0	1	0	1	0	0	2020/07/26 16:17:34
Pacific County	2020-04-05	1	0	0	1	0	0	0	2020/07/26 16:17:34
Pacific County	2020-04-19	1	0	0	0	1	0	0	2020/07/26 16:17:34
Pacific County	2020-04-26	2	0	0	2	0	0	0	2020/07/26 16:17:34
Pacific County	2020-05-03	3	0	1	2	0	0	0	2020/07/26 16:17:34
Pacific County	2020-05-31	1	0	0	1	0	0	0	2020/07/26 16:17:34
Pacific County	2020-06-07	2	0	2	0	0	0	0	2020/07/26 16:17:34
Pacific County	2020-06-21	6	2	3	1	0	0	0	2020/07/26 16:17:34
Pacific County	2020-07-05	1	0	1	0	0	0	0	2020/07/26 16:17:34
Pacific County	2020-07-12	6	1	0	2	3	0	0	2020/07/26 16:17:34
Pacific County	2020-07-19	5	0	2	1	2	0	0	2020/07/26 16:17:34
Pend Oreille County	2020-03-15	1	0	0	0	0	1	0	2020/07/26 16:17:34
Pend Oreille County	2020-04-05	1	0	0	1	0	0	0	2020/07/26 16:17:34
Pend Oreille County	2020-05-17	1	0	1	0	0	0	0	2020/07/26 16:17:34
Pend Oreille County	2020-06-21	3	0	1	0	2	0	0	2020/07/26 16:17:34
Pend Oreille County	2020-06-28	2	1	0	1	0	0	0	2020/07/26 16:17:34
Pend Oreille County	2020-07-05	10	0	6	0	4	0	0	2020/07/26 16:17:34
Pend Oreille County	2020-07-12	8	3	1	4	0	0	0	2020/07/26 16:17:34
Pend Oreille County	2020-07-19	8	3	3	2	0	0	0	2020/07/26 16:17:34
Pierce County	2020-02-16	2	0	1	1	0	0	0	2020/07/26 16:17:34
Pierce County	2020-02-23	11	2	1	6	2	0	0	2020/07/26 16:17:34
Pierce County	2020-03-01	39	0	7	15	16	1	0	2020/07/26 16:17:34
Pierce County	2020-03-08	107	4	27	38	31	7	0	2020/07/26 16:17:34
Pierce County	2020-03-15	225	7	68	86	58	6	0	2020/07/26 16:17:34
Pierce County	2020-03-22	242	6	62	101	62	11	0	2020/07/26 16:17:34
Pierce County	2020-03-29	281	10	87	92	68	24	0	2020/07/26 16:17:34
Pierce County	2020-04-05	188	13	55	72	35	13	0	2020/07/26 16:17:34
Pierce County	2020-04-12	198	3	52	86	47	10	0	2020/07/26 16:17:34
Pierce County	2020-04-19	162	12	50	63	26	11	0	2020/07/26 16:17:34
Pierce County	2020-04-26	154	15	57	57	19	6	0	2020/07/26 16:17:34
Pierce County	2020-05-03	145	11	48	51	24	11	0	2020/07/26 16:17:34
Pierce County	2020-05-10	99	12	34	32	11	10	0	2020/07/26 16:17:34
Pierce County	2020-05-17	83	7	28	22	18	8	0	2020/07/26 16:17:34
Pierce County	2020-05-24	91	9	40	27	8	7	0	2020/07/26 16:17:34
Pierce County	2020-05-31	91	13	37	25	12	4	0	2020/07/26 16:17:34
Pierce County	2020-06-07	105	9	53	31	9	3	0	2020/07/26 16:17:34
Pierce County	2020-06-14	202	20	104	47	20	11	0	2020/07/26 16:17:34
Pierce County	2020-06-21	279	19	167	58	23	12	0	2020/07/26 16:17:34
Pierce County	2020-06-28	324	41	177	69	26	8	3	2020/07/26 16:17:34
Pierce County	2020-07-05	408	74	209	85	28	12	0	2020/07/26 16:17:34
Pierce County	2020-07-12	549	79	256	160	39	15	0	2020/07/26 16:17:34
Pierce County	2020-07-19	469	67	198	128	60	16	0	2020/07/26 16:17:34
San Juan County	2020-03-08	1	0	0	1	0	0	0	2020/07/26 16:17:34
San Juan County	2020-03-15	3	0	0	2	1	0	0	2020/07/26 16:17:34
San Juan County	2020-03-22	4	0	0	3	1	0	0	2020/07/26 16:17:34
San Juan County	2020-03-29	5	0	0	3	1	1	0	2020/07/26 16:17:34
San Juan County	2020-04-05	1	1	0	0	0	0	0	2020/07/26 16:17:34
San Juan County	2020-04-12	1	0	0	1	0	0	0	2020/07/26 16:17:34
San Juan County	2020-05-31	1	0	1	0	0	0	0	2020/07/26 16:17:34
San Juan County	2020-06-14	3	1	1	0	0	1	0	2020/07/26 16:17:34
San Juan County	2020-06-28	2	0	1	0	1	0	0	2020/07/26 16:17:34
San Juan County	2020-07-05	2	0	2	0	0	0	0	2020/07/26 16:17:34
San Juan County	2020-07-12	4	0	0	4	0	0	0	2020/07/26 16:17:34
San Juan County	2020-07-19	1	0	0	0	1	0	0	2020/07/26 16:17:34
Skagit County	2020-02-16	1	0	0	1	0	0	0	2020/07/26 16:17:34
Skagit County	2020-02-23	1	0	1	0	0	0	0	2020/07/26 16:17:34
Skagit County	2020-03-01	8	0	3	2	2	1	0	2020/07/26 16:17:34
Skagit County	2020-03-08	43	1	8	11	20	3	0	2020/07/26 16:17:34
Skagit County	2020-03-15	48	3	9	20	13	3	0	2020/07/26 16:17:34
Skagit County	2020-03-22	43	3	13	13	9	5	0	2020/07/26 16:17:34
Skagit County	2020-03-29	42	0	8	12	14	8	0	2020/07/26 16:17:34
Skagit County	2020-04-05	44	3	13	21	7	0	0	2020/07/26 16:17:34
Skagit County	2020-04-12	54	4	17	12	16	5	0	2020/07/26 16:17:34
Skagit County	2020-04-19	66	10	25	25	5	1	0	2020/07/26 16:17:34
Skagit County	2020-04-26	42	7	19	13	3	0	0	2020/07/26 16:17:34
Skagit County	2020-05-03	26	1	9	15	0	1	0	2020/07/26 16:17:34
Skagit County	2020-05-10	11	4	2	3	2	0	0	2020/07/26 16:17:34
Skagit County	2020-05-17	2	0	2	0	0	0	0	2020/07/26 16:17:34
Skagit County	2020-05-24	13	2	7	4	0	0	0	2020/07/26 16:17:34
Skagit County	2020-05-31	11	3	5	3	0	0	0	2020/07/26 16:17:34
Skagit County	2020-06-07	20	1	8	8	3	0	0	2020/07/26 16:17:34
Skagit County	2020-06-14	21	5	11	4	1	0	0	2020/07/26 16:17:34
Skagit County	2020-06-21	32	4	12	13	3	0	0	2020/07/26 16:17:34
Skagit County	2020-06-28	55	9	21	13	4	8	0	2020/07/26 16:17:34
Skagit County	2020-07-05	71	14	28	13	11	5	0	2020/07/26 16:17:34
Skagit County	2020-07-12	60	11	17	20	9	3	0	2020/07/26 16:17:34
Skagit County	2020-07-19	28	6	9	8	5	0	0	2020/07/26 16:17:34
Skamania County	2020-03-22	2	0	0	1	1	0	0	2020/07/26 16:17:34
Skamania County	2020-04-05	1	0	0	0	1	0	0	2020/07/26 16:17:34
Skamania County	2020-06-14	1	0	1	0	0	0	0	2020/07/26 16:17:34
Skamania County	2020-06-21	6	0	1	2	2	1	0	2020/07/26 16:17:34
Skamania County	2020-06-28	13	3	6	2	2	0	0	2020/07/26 16:17:34
Skamania County	2020-07-05	18	4	3	8	2	1	0	2020/07/26 16:17:34
Skamania County	2020-07-12	3	1	0	2	0	0	0	2020/07/26 16:17:34
Skamania County	2020-07-19	3	1	0	1	1	0	0	2020/07/26 16:17:34
Snohomish County	2020-01-16	1	0	1	0	0	0	0	2020/07/26 16:17:34
Snohomish County	2020-01-26	1	0	1	0	0	0	0	2020/07/26 16:17:34
Snohomish County	2020-02-02	6	0	1	2	1	2	0	2020/07/26 16:17:34
Snohomish County	2020-02-09	4	0	1	2	1	0	0	2020/07/26 16:17:34
Snohomish County	2020-02-16	20	1	3	9	6	1	0	2020/07/26 16:17:34
Snohomish County	2020-02-23	51	1	11	15	17	7	0	2020/07/26 16:17:34
Snohomish County	2020-03-01	200	3	36	69	69	22	1	2020/07/26 16:17:34
Snohomish County	2020-03-08	343	5	85	141	85	27	0	2020/07/26 16:17:34
Snohomish County	2020-03-15	494	6	159	192	112	25	0	2020/07/26 16:17:34
Snohomish County	2020-03-22	427	16	145	166	78	22	0	2020/07/26 16:17:34
Snohomish County	2020-03-29	301	15	100	98	54	34	0	2020/07/26 16:17:34
Snohomish County	2020-04-05	216	9	71	81	41	14	0	2020/07/26 16:17:34
Snohomish County	2020-04-12	202	16	63	55	42	26	0	2020/07/26 16:17:34
Snohomish County	2020-04-19	195	10	58	73	29	25	0	2020/07/26 16:17:34
Snohomish County	2020-04-26	186	14	57	59	27	29	0	2020/07/26 16:17:34
Snohomish County	2020-05-03	114	6	43	35	24	6	0	2020/07/26 16:17:34
Snohomish County	2020-05-10	99	9	34	22	11	23	0	2020/07/26 16:17:34
Snohomish County	2020-05-17	94	6	27	25	21	15	0	2020/07/26 16:17:34
Snohomish County	2020-05-24	59	7	21	20	11	0	0	2020/07/26 16:17:34
Snohomish County	2020-05-31	82	13	28	28	12	1	0	2020/07/26 16:17:34
Snohomish County	2020-06-07	111	17	39	31	16	8	0	2020/07/26 16:17:34
Snohomish County	2020-06-14	174	40	63	48	15	8	0	2020/07/26 16:17:34
Snohomish County	2020-06-21	231	39	116	44	30	2	0	2020/07/26 16:17:34
Snohomish County	2020-06-28	273	64	122	65	19	3	0	2020/07/26 16:17:34
Snohomish County	2020-07-05	344	78	142	84	30	10	0	2020/07/26 16:17:34
Snohomish County	2020-07-12	300	42	136	76	38	8	0	2020/07/26 16:17:34
Snohomish County	2020-07-19	218	44	90	59	17	8	0	2020/07/26 16:17:34
Spokane County	2020-02-16	1	0	0	0	1	0	0	2020/07/26 16:17:34
Spokane County	2020-02-23	1	0	0	0	0	1	0	2020/07/26 16:17:34
Spokane County	2020-03-01	9	0	4	3	2	0	0	2020/07/26 16:17:34
Spokane County	2020-03-08	38	0	8	12	17	1	0	2020/07/26 16:17:34
Spokane County	2020-03-15	90	1	19	39	27	4	0	2020/07/26 16:17:34
Spokane County	2020-03-22	72	2	23	24	17	6	0	2020/07/26 16:17:34
Spokane County	2020-03-29	44	3	10	13	15	3	0	2020/07/26 16:17:34
Spokane County	2020-04-05	31	0	6	7	7	11	0	2020/07/26 16:17:34
Spokane County	2020-04-12	32	0	8	10	6	8	0	2020/07/26 16:17:34
Spokane County	2020-04-19	42	4	15	8	10	5	0	2020/07/26 16:17:34
Spokane County	2020-04-26	21	0	5	5	6	5	0	2020/07/26 16:17:34
Spokane County	2020-05-03	16	7	3	3	2	1	0	2020/07/26 16:17:34
Spokane County	2020-05-10	44	7	17	17	3	0	0	2020/07/26 16:17:34
Spokane County	2020-05-17	109	18	53	22	12	4	0	2020/07/26 16:17:34
Spokane County	2020-05-24	99	15	59	19	5	1	0	2020/07/26 16:17:34
Spokane County	2020-05-31	135	32	53	28	15	7	0	2020/07/26 16:17:34
Spokane County	2020-06-07	133	17	69	31	14	2	0	2020/07/26 16:17:34
Spokane County	2020-06-14	209	33	101	47	23	5	0	2020/07/26 16:17:34
Spokane County	2020-06-21	425	59	245	89	29	3	0	2020/07/26 16:17:34
Spokane County	2020-06-28	485	74	250	112	34	15	0	2020/07/26 16:17:34
Spokane County	2020-07-05	465	57	230	125	40	13	0	2020/07/26 16:17:34
Spokane County	2020-07-12	409	72	154	112	46	25	0	2020/07/26 16:17:34
Spokane County	2020-07-19	359	60	125	86	59	28	1	2020/07/26 16:17:34
Stevens County	2020-03-01	1	0	0	1	0	0	0	2020/07/26 16:17:34
Stevens County	2020-03-08	1	0	0	0	1	0	0	2020/07/26 16:17:34
Stevens County	2020-03-22	4	0	0	1	3	0	0	2020/07/26 16:17:34
Stevens County	2020-03-29	1	0	0	0	1	0	0	2020/07/26 16:17:34
Stevens County	2020-04-12	2	1	0	0	1	0	0	2020/07/26 16:17:34
Stevens County	2020-05-10	1	0	0	1	0	0	0	2020/07/26 16:17:34
Stevens County	2020-05-17	2	0	0	2	0	0	0	2020/07/26 16:17:34
Stevens County	2020-05-24	1	0	0	1	0	0	0	2020/07/26 16:17:34
Stevens County	2020-05-31	1	0	0	1	0	0	0	2020/07/26 16:17:34
Stevens County	2020-06-07	2	1	0	1	0	0	0	2020/07/26 16:17:34
Stevens County	2020-06-14	2	0	0	1	1	0	0	2020/07/26 16:17:34
Stevens County	2020-06-21	5	0	2	1	2	0	0	2020/07/26 16:17:34
Stevens County	2020-06-28	5	3	0	0	2	0	0	2020/07/26 16:17:34
Stevens County	2020-07-05	13	3	5	5	0	0	0	2020/07/26 16:17:34
Stevens County	2020-07-12	11	1	3	3	4	0	0	2020/07/26 16:17:34
Stevens County	2020-07-19	7	0	2	4	1	0	0	2020/07/26 16:17:34
Thurston County	2020-02-23	1	0	0	1	0	0	0	2020/07/26 16:17:34
Thurston County	2020-03-01	4	0	0	3	1	0	0	2020/07/26 16:17:34
Thurston County	2020-03-08	17	0	4	6	6	1	0	2020/07/26 16:17:34
Thurston County	2020-03-15	15	0	1	6	8	0	0	2020/07/26 16:17:34
Thurston County	2020-03-22	31	1	6	11	12	1	0	2020/07/26 16:17:34
Thurston County	2020-03-29	16	1	6	6	3	0	0	2020/07/26 16:17:34
Thurston County	2020-04-05	10	0	4	4	2	0	0	2020/07/26 16:17:34
Thurston County	2020-04-12	12	1	2	6	3	0	0	2020/07/26 16:17:34
Thurston County	2020-04-19	8	1	1	4	1	1	0	2020/07/26 16:17:34
Thurston County	2020-04-26	5	3	0	1	1	0	0	2020/07/26 16:17:34
Thurston County	2020-05-03	5	0	2	2	0	1	0	2020/07/26 16:17:34
Thurston County	2020-05-10	3	0	0	2	1	0	0	2020/07/26 16:17:34
Thurston County	2020-05-17	6	0	1	3	2	0	0	2020/07/26 16:17:34
Thurston County	2020-05-24	28	1	5	9	7	6	0	2020/07/26 16:17:34
Thurston County	2020-05-31	25	0	7	9	4	5	0	2020/07/26 16:17:34
Thurston County	2020-06-07	19	1	7	6	1	4	0	2020/07/26 16:17:34
Thurston County	2020-06-14	27	4	12	8	2	1	0	2020/07/26 16:17:34
Thurston County	2020-06-21	54	7	28	11	8	0	0	2020/07/26 16:17:34
Thurston County	2020-06-28	60	8	23	19	9	1	0	2020/07/26 16:17:34
Thurston County	2020-07-05	74	13	29	22	7	1	2	2020/07/26 16:17:34
Thurston County	2020-07-12	71	10	27	21	11	2	0	2020/07/26 16:17:34
Thurston County	2020-07-19	55	7	26	14	5	3	0	2020/07/26 16:17:34
Wahkiakum County	2020-03-15	1	0	0	1	0	0	0	2020/07/26 16:17:34
Wahkiakum County	2020-03-22	1	0	0	1	0	0	0	2020/07/26 16:17:34
Wahkiakum County	2020-05-03	2	0	0	1	1	0	0	2020/07/26 16:17:34
Wahkiakum County	2020-06-14	1	0	0	1	0	0	0	2020/07/26 16:17:34
Walla Walla County	2020-03-08	1	0	0	1	0	0	0	2020/07/26 16:17:34
Walla Walla County	2020-03-15	2	0	1	0	1	0	0	2020/07/26 16:17:34
Walla Walla County	2020-03-22	5	0	2	2	1	0	0	2020/07/26 16:17:34
Walla Walla County	2020-03-29	11	1	4	4	2	0	0	2020/07/26 16:17:34
Walla Walla County	2020-04-05	16	0	8	4	4	0	0	2020/07/26 16:17:34
Walla Walla County	2020-04-12	13	1	5	6	1	0	0	2020/07/26 16:17:34
Walla Walla County	2020-04-19	29	3	7	10	8	1	0	2020/07/26 16:17:34
Walla Walla County	2020-04-26	18	3	11	4	0	0	0	2020/07/26 16:17:34
Walla Walla County	2020-05-03	7	0	4	1	0	2	0	2020/07/26 16:17:34
Walla Walla County	2020-05-10	6	1	0	2	0	3	0	2020/07/26 16:17:34
Walla Walla County	2020-05-17	2	0	0	2	0	0	0	2020/07/26 16:17:34
Walla Walla County	2020-05-24	3	1	1	0	1	0	0	2020/07/26 16:17:34
Walla Walla County	2020-05-31	10	1	1	6	2	0	0	2020/07/26 16:17:34
Walla Walla County	2020-06-07	13	0	7	4	2	0	0	2020/07/26 16:17:34
Walla Walla County	2020-06-14	18	3	8	5	2	0	0	2020/07/26 16:17:34
Walla Walla County	2020-06-21	30	2	15	8	4	1	0	2020/07/26 16:17:34
Walla Walla County	2020-06-28	36	1	22	7	5	1	0	2020/07/26 16:17:34
Walla Walla County	2020-07-05	52	6	24	20	2	0	0	2020/07/26 16:17:34
Walla Walla County	2020-07-12	46	11	13	13	8	1	0	2020/07/26 16:17:34
Walla Walla County	2020-07-19	29	5	9	9	5	1	0	2020/07/26 16:17:34
Whatcom County	2020-02-16	1	0	0	0	1	0	0	2020/07/26 16:17:34
Whatcom County	2020-02-23	1	0	0	1	0	0	0	2020/07/26 16:17:34
Whatcom County	2020-03-01	6	0	0	2	3	1	0	2020/07/26 16:17:34
Whatcom County	2020-03-08	27	1	8	8	5	5	0	2020/07/26 16:17:34
Whatcom County	2020-03-15	72	1	22	20	12	17	0	2020/07/26 16:17:34
Whatcom County	2020-03-22	84	1	20	27	20	16	0	2020/07/26 16:17:34
Whatcom County	2020-03-29	62	4	15	13	10	20	0	2020/07/26 16:17:34
Whatcom County	2020-04-05	22	1	4	3	9	5	0	2020/07/26 16:17:34
Whatcom County	2020-04-12	12	0	6	1	2	3	0	2020/07/26 16:17:34
Whatcom County	2020-04-19	12	2	4	4	2	0	0	2020/07/26 16:17:34
Whatcom County	2020-04-26	23	5	13	2	1	2	0	2020/07/26 16:17:34
Whatcom County	2020-05-03	16	3	3	3	3	4	0	2020/07/26 16:17:34
Whatcom County	2020-05-10	20	3	10	5	2	0	0	2020/07/26 16:17:34
Whatcom County	2020-05-17	21	6	10	3	1	1	0	2020/07/26 16:17:34
Whatcom County	2020-05-24	23	9	7	7	0	0	0	2020/07/26 16:17:34
Whatcom County	2020-05-31	33	12	15	3	2	1	0	2020/07/26 16:17:34
Whatcom County	2020-06-07	35	5	20	8	2	0	0	2020/07/26 16:17:34
Whatcom County	2020-06-14	87	17	29	22	17	2	0	2020/07/26 16:17:34
Whatcom County	2020-06-21	85	26	27	22	10	0	0	2020/07/26 16:17:34
Whatcom County	2020-06-28	44	9	21	10	4	0	0	2020/07/26 16:17:34
Whatcom County	2020-07-05	61	9	24	18	8	2	0	2020/07/26 16:17:34
Whatcom County	2020-07-12	55	12	28	11	4	0	0	2020/07/26 16:17:34
Whatcom County	2020-07-19	42	10	16	10	5	1	0	2020/07/26 16:17:34
Whitman County	2020-03-08	1	0	1	0	0	0	0	2020/07/26 16:17:34
Whitman County	2020-03-15	4	0	1	2	1	0	0	2020/07/26 16:17:34
Whitman County	2020-03-22	3	1	0	2	0	0	0	2020/07/26 16:17:34
Whitman County	2020-03-29	4	0	2	2	0	0	0	2020/07/26 16:17:34
Whitman County	2020-04-12	3	0	2	0	0	1	0	2020/07/26 16:17:34
Whitman County	2020-04-19	1	0	1	0	0	0	0	2020/07/26 16:17:34
Whitman County	2020-05-10	2	0	2	0	0	0	0	2020/07/26 16:17:34
Whitman County	2020-05-17	2	0	2	0	0	0	0	2020/07/26 16:17:34
Whitman County	2020-05-31	6	2	2	1	1	0	0	2020/07/26 16:17:34
Whitman County	2020-06-07	2	1	1	0	0	0	0	2020/07/26 16:17:34
Whitman County	2020-06-14	4	0	1	3	0	0	0	2020/07/26 16:17:34
Whitman County	2020-06-21	5	0	2	1	2	0	0	2020/07/26 16:17:34
Whitman County	2020-06-28	7	0	5	2	0	0	0	2020/07/26 16:17:34
Whitman County	2020-07-05	7	2	4	0	1	0	0	2020/07/26 16:17:34
Whitman County	2020-07-12	6	0	5	0	0	1	0	2020/07/26 16:17:34
Whitman County	2020-07-19	2	0	0	1	1	0	0	2020/07/26 16:17:34
Yakima County	2020-01-16	1	0	1	0	0	0	0	2020/07/26 16:17:34
Yakima County	2020-02-09	3	0	1	1	1	0	0	2020/07/26 16:17:34
Yakima County	2020-02-16	2	0	0	2	0	0	0	2020/07/26 16:17:34
Yakima County	2020-03-01	14	0	0	4	9	1	0	2020/07/26 16:17:34
Yakima County	2020-03-08	23	1	10	6	6	0	0	2020/07/26 16:17:34
Yakima County	2020-03-15	75	3	33	23	12	4	0	2020/07/26 16:17:34
Yakima County	2020-03-22	157	2	41	55	37	21	1	2020/07/26 16:17:34
Yakima County	2020-03-29	236	16	63	75	62	20	0	2020/07/26 16:17:34
Yakima County	2020-04-05	239	14	81	81	49	14	0	2020/07/26 16:17:34
Yakima County	2020-04-12	242	29	88	71	40	14	0	2020/07/26 16:17:34
Yakima County	2020-04-19	288	22	103	104	43	16	0	2020/07/26 16:17:34
Yakima County	2020-04-26	407	39	140	136	58	33	1	2020/07/26 16:17:34
Yakima County	2020-05-03	524	58	206	168	58	34	0	2020/07/26 16:17:34
Yakima County	2020-05-10	650	71	279	213	73	14	0	2020/07/26 16:17:34
Yakima County	2020-05-17	683	85	298	204	86	10	0	2020/07/26 16:17:34
Yakima County	2020-05-24	769	96	328	230	108	7	0	2020/07/26 16:17:34
Yakima County	2020-05-31	972	135	434	287	100	16	0	2020/07/26 16:17:34
Yakima County	2020-06-07	860	120	348	242	107	43	0	2020/07/26 16:17:34
Yakima County	2020-06-14	819	144	349	209	95	22	0	2020/07/26 16:17:34
Yakima County	2020-06-21	736	122	297	201	72	44	0	2020/07/26 16:17:34
Yakima County	2020-06-28	628	95	257	187	55	34	0	2020/07/26 16:17:34
Yakima County	2020-07-05	587	113	228	169	67	10	0	2020/07/26 16:17:34
Yakima County	2020-07-12	425	76	192	114	38	5	0	2020/07/26 16:17:34
Yakima County	2020-07-19	289	63	123	75	25	3	0	2020/07/26 16:17:34
Unassigned	2020-05-10	1	0	0	1	0	0	0	2020/07/26 16:17:34
Unassigned	2020-05-17	6	0	3	3	0	0	0	2020/07/26 16:17:34
Unassigned	2020-05-24	5	0	3	2	0	0	0	2020/07/26 16:17:34
Unassigned	2020-06-07	1	0	0	1	0	0	0	2020/07/26 16:17:34
Unassigned	2020-06-14	6	0	5	1	0	0	0	2020/07/26 16:17:34
Unassigned	2020-06-21	7	0	4	3	0	0	0	2020/07/26 16:17:34
Unassigned	2020-06-28	8	0	6	1	1	0	0	2020/07/26 16:17:34
Unassigned	2020-07-05	22	1	16	5	0	0	0	2020/07/26 16:17:34
Unassigned	2020-07-12	35	3	14	6	7	5	0	2020/07/26 16:17:34
Unassigned	2020-07-19	79	7	42	22	6	2	0	2020/07/26 16:17:34
